,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,10,,5113,織物卸売業(室内装飾繊維品を除く),"16,468","10,143","6,325","15,597","9,735","5,862","14,806","9,267","5,539","2,011",653,"12,142","7,256","4,886","6,742","3,715",514,"1,171",380,327,127,23,126,39,15,112,"1,411",791,468,323,328,23,20,93,327,120,207,98,147,22,60,14,8,-,-,-,-,-,-,71,
00200,            ,            ,  ,,11,,512,衣服卸売業,"89,627","41,291","48,336","87,225","40,713","46,512","84,906","39,672","45,234","6,575","2,460","75,871","33,097","42,774","30,253","27,705","2,844","15,069",548,"1,401",442,347,373,274,71,450,"14,049","2,319","1,041","1,278",705,374,58,255,927,278,649,212,287,66,362,29,63,2,21,1,1,-,3,378,
00200,            ,            ,  ,,12,,5121,男子服卸売業,"19,771","11,376","8,395","19,205","11,111","8,094","18,751","10,832","7,919","1,786",579,"16,386","9,046","7,340","8,154","4,659",892,"2,681",189,218,57,29,92,45,33,63,"2,713",454,279,175,180,17,17,58,182,82,100,57,61,25,39,7,3,-,-,1,1,-,-,52,
00200,            ,            ,  ,,13,,5122,婦人・子供服卸売業,"46,964","20,300","26,664","45,622","20,086","25,536","44,624","19,605","25,019","3,059","1,116","40,449","16,546","23,903","15,187","15,360","1,359","8,543",216,906,227,197,182,154,25,251,"7,670",998,481,517,331,92,21,117,437,129,308,103,145,26,163,19,20,1,9,-,-,-,3,162,
00200,            ,            ,  ,,14,,5123,下着類卸売業,"12,734","4,295","8,439","12,496","4,254","8,242","11,977","4,152","7,825",810,485,"10,682","3,342","7,340","3,116","5,355",226,"1,985",56,95,63,28,43,40,3,72,"1,870",519,102,417,66,239,13,29,172,23,149,17,31,6,118,3,18,1,-,-,-,-,-,119,
00200,            ,            ,  ,,15,,5129,その他の衣服卸売業,"10,158","5,320","4,838","9,902","5,262","4,640","9,554","5,083","4,471",920,280,"8,354","4,163","4,191","3,796","2,331",367,"1,860",87,182,95,93,56,35,10,64,"1,796",348,179,169,128,26,7,51,136,44,92,35,50,9,42,-,22,-,12,-,-,-,-,45,
00200,            ,            ,  ,,16,,513,身の回り品卸売業,"74,458","35,895","38,563","71,664","35,059","36,605","69,674","33,991","35,683","6,315","2,371","60,988","27,676","33,312","24,774","19,905","2,902","13,407",799,"1,566",287,338,221,87,88,550,"12,779","1,990","1,068",922,758,108,48,286,790,262,528,209,306,53,222,17,93,3,-,1,-,-,-,238,
00200,            ,            ,  ,,17,,5131,寝具類卸売業,"7,080","3,847","3,233","6,579","3,684","2,895","6,379","3,573","2,806",596,202,"5,581","2,977","2,604","2,563","1,580",414,"1,024",158,311,13,4,14,4,4,24,"1,186",200,111,89,89,7,3,45,56,19,37,15,29,4,8,-,3,-,-,-,-,-,-,11,
00200,            ,            ,  ,,18,,5132,靴・履物卸売業,"15,173","8,191","6,982","14,668","8,005","6,663","14,263","7,772","6,491","1,181",442,"12,640","6,591","6,049","5,847","3,563",744,"2,486",151,224,51,51,60,15,26,116,"2,525",405,233,172,166,15,12,67,145,55,90,46,52,9,38,-,15,-,-,-,-,-,-,42,
00200,            ,            ,  ,,19,,5133,かばん・袋物卸売業,"11,971","5,515","6,456","11,656","5,425","6,231","11,402","5,300","6,102","1,107",413,"9,882","4,193","5,689","3,836","3,915",357,"1,774",87,170,13,33,12,2,4,80,"1,755",254,125,129,81,19,4,32,118,40,78,34,42,6,36,1,6,1,-,-,-,-,-,38,
