,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,64,,5364,古紙卸売業,"17,758","14,028","3,730","17,105","13,444","3,661","15,821","12,544","3,277","1,443",546,"13,832","11,101","2,731","9,228","1,655","1,873","1,076",361,72,369,41,97,13,390,5,"2,302","1,284",900,384,392,32,49,134,677,459,218,293,143,166,75,107,20,3,-,-,-,1,-,198,
00200,            ,            ,  ,,65,,5369,その他の再生資源卸売業,"5,137","3,614","1,523","4,952","3,505","1,447","4,568","3,251","1,317",506,177,"3,885","2,745","1,140","2,116",614,629,526,64,66,30,7,43,7,21,8,858,384,254,130,134,6,14,33,197,106,91,72,56,34,35,11,-,2,-,1,-,1,2,55,
00200,            ,            ,  ,,66,,54,機械器具卸売業,"791,082","599,967","191,115","772,283","592,964","179,319","761,459","585,853","175,606","47,316","13,279","700,864","538,537","162,327","508,029","126,321","30,508","36,006","6,870","3,420","20,243","2,915","14,978","2,196","5,148","9,011","56,330","10,824","7,111","3,713","4,280",152,256,"1,131","5,005","2,575","2,430","2,153","1,864",422,566,249,83,8,-,5,-,4,1,897,
00200,            ,            ,  ,,67,,541,産業機械器具卸売業,"250,350","189,260","61,090","246,223","188,695","57,528","242,347","186,244","56,103","18,845","5,528","217,974","167,399","50,575","158,919","40,674","8,480","9,901","2,638","1,078","7,036","1,028","3,794",625,"1,062","2,860","15,727","3,876","2,451","1,425","1,553",64,102,404,"1,753",796,957,663,755,133,202,106,26,4,-,4,-,1,1,298,
00200,            ,            ,  ,,68,,5411,農業用機械器具卸売業,"11,730","8,838","2,892","11,485","8,704","2,781","10,762","8,232","2,530","1,043",342,"9,377","7,189","2,188","6,513","1,650",676,538,108,63,282,3,273,15,16,32,"1,088",723,472,251,276,8,22,67,350,174,176,147,145,27,31,18,4,-,-,1,-,-,-,53,
00200,            ,            ,  ,,69,,5412,建設機械・鉱山機械卸売業,"19,033","15,321","3,712","18,496","14,951","3,545","18,226","14,765","3,461","1,381",415,"16,430","13,384","3,046","12,663","2,474",721,572,112,41,125,16,260,28,113,110,"1,141",270,186,84,105,6,7,13,139,74,65,61,56,13,9,11,4,1,-,-,-,-,-,21,
00200,            ,            ,  ,,70,,5413,金属加工機械卸売業,"16,964","12,281","4,683","16,241","11,911","4,330","15,966","11,741","4,225","1,869",562,"13,535","9,872","3,663","9,273","2,911",599,752,299,144,98,12,127,32,41,187,"1,191",275,170,105,115,3,8,38,111,47,64,42,47,5,17,1,2,-,-,-,-,-,-,20,
00200,            ,            ,  ,,71,,5414,事務用機械器具卸売業,"37,071","28,842","8,229","38,839","30,970","7,869","38,588","30,830","7,758","1,469",416,"36,703","29,361","7,342","28,310","5,814","1,051","1,528",100,83,"2,993",562,617,130,143,707,"2,011",251,140,111,101,3,5,26,116,34,82,31,64,3,18,3,1,-,-,2,-,-,1,19,
00200,            ,            ,  ,,72,,5419,その他の産業機械器具卸売業,"165,552","123,978","41,574","161,162","122,159","39,003","158,805","120,676","38,129","13,083","3,793","141,929","107,593","34,336","102,160","27,825","5,433","6,511","2,019",747,"3,538",435,"2,517",420,749,"1,824","10,296","2,357","1,483",874,956,44,60,260,"1,037",467,570,382,443,85,127,73,15,3,-,1,-,1,-,185,
00200,            ,            ,  ,,73,,542,自動車卸売業,"140,738","110,725","30,013","138,645","109,905","28,740","133,950","106,668","27,282","9,833","3,010","121,107","96,835","24,272","89,477","17,378","7,358","6,894","1,358",449,"3,773",366,"2,567",404,580,742,"12,050","4,695","3,237","1,458","1,810",34,99,454,"2,298","1,328",970,"1,121",727,207,243,88,44,2,-,1,-,1,-,416,
00200,            ,            ,  ,,74,,5421,自動車卸売業(二輪自動車を含む),"47,838","38,737","9,101","47,949","39,146","8,803","46,214","37,927","8,287","3,079",856,"42,279","34,848","7,431","32,841","5,709","2,007","1,722",393,118,"1,789",156,833,38,117,277,"3,192","1,735","1,219",516,721,15,52,202,745,446,299,346,221,100,78,37,21,1,-,-,-,1,-,169,
00200,            ,            ,  ,,75,,5422,自動車部分品・附属品卸売業(中古品を除く),"85,278","66,077","19,201","83,175","64,928","18,247","80,629","63,218","17,411","5,836","1,840","72,953","57,382","15,571","52,510","10,849","4,872","4,722",889,310,"1,927",203,"1,691",363,451,465,"8,094","2,546","1,710",836,956,19,38,215,"1,318",716,602,634,463,82,139,45,19,1,-,1,-,-,-,199,
00200,            ,            ,  ,,76,,5423,自動車中古部品卸売業,"7,622","5,911","1,711","7,521","5,831","1,690","7,107","5,523","1,584",918,314,"5,875","4,605","1,270","4,126",820,479,450,76,21,57,7,43,3,12,-,764,414,308,106,133,-,9,37,235,166,69,141,43,25,26,6,4,-,-,-,-,-,-,48,
00200,            ,            ,  ,,77,,543,電気機械器具卸売業,"270,474","203,577","66,897","262,648","200,607","62,041","261,364","199,798","61,566","11,900","2,747","246,717","187,898","58,819","177,163","46,211","10,735","12,608","2,043","1,258","7,660","1,234","6,609",859,"1,936","3,965","19,864","1,284",809,475,534,26,24,156,544,251,293,209,230,42,63,41,8,1,-,-,-,2,-,99,
00200,            ,            ,  ,,78,,5431,家庭用電気機械器具卸売業,"44,701","32,754","11,947","42,124","30,991","11,133","41,702","30,727","10,975","2,279",629,"38,794","28,448","10,346","25,472","6,671","2,976","3,675",236,205,662,277,"1,872",201,303,681,"5,830",422,264,158,180,10,8,60,164,76,88,58,68,18,20,13,4,-,-,-,-,1,-,38,
00200,            ,            ,  ,,79,,5432,電気機械器具卸売業(家庭用電気機械器具を除く),"225,773","170,823","54,950","220,524","169,616","50,908","219,662","169,071","50,591","9,621","2,118","207,923","159,450","48,473","151,691","39,540","7,759","8,933","1,807","1,053","6,998",957,"4,737",658,"1,633","3,284","14,034",862,545,317,354,16,16,96,380,175,205,151,162,24,43,28,4,1,-,-,-,1,-,61,
00200,            ,            ,  ,,80,,549,その他の機械器具卸売業,"129,520","96,405","33,115","124,767","93,757","31,010","123,798","93,143","30,655","6,738","1,994","115,066","86,405","28,661","82,470","22,058","3,935","6,603",831,635,"1,774",287,"2,008",308,"1,570","1,444","8,689",969,614,355,383,28,31,117,410,200,210,160,152,40,58,14,5,1,-,-,-,-,-,84,
00200,            ,            ,  ,,81,,5491,輸送用機械器具卸売業(自動車を除く),"16,414","12,735","3,679","15,575","12,121","3,454","15,201","11,874","3,327","1,035",294,"13,872","10,839","3,033","10,249","2,276",590,757,74,37,103,18,597,52,40,153,"1,128",374,247,127,146,10,15,47,156,86,70,62,50,24,20,6,1,-,-,-,-,-,-,35,
00200,            ,            ,  ,,82,,5492,計量器・理化学機械器具・光学機械器具等卸売業,"56,859","42,076","14,783","54,671","40,685","13,986","54,278","40,433","13,845","3,433",980,"49,865","37,000","12,865","35,495","10,371","1,505","2,494",305,153,894,151,936,155,"1,044",640,"3,425",393,252,141,153,11,14,43,172,85,87,72,59,13,28,1,-,1,-,-,-,-,-,36,
00200,            ,            ,  ,,83,,5493,医療用機械器具卸売業(歯科用機械器具を含む),"56,247","41,594","14,653","54,521","40,951","13,570","54,319","40,836","13,483","2,270",720,"51,329","38,566","12,763","36,726","9,411","1,840","3,352",452,445,777,118,475,101,486,651,"4,136",202,115,87,84,7,2,27,82,29,53,26,43,3,10,7,4,-,-,-,-,-,-,13,
00200,            ,            ,  ,,84,,55,その他の卸売業,"633,345","394,585","238,760","611,720","386,075","225,645","585,451","373,367","212,084","45,586","17,184","522,681","327,781","194,900","296,107","114,264","31,674","80,636","5,006","6,588","6,276","2,006","6,195","1,722","3,058","5,612","88,155","26,269","12,708","13,561","7,590","2,366",759,"2,637","12,917","4,359","8,558","3,112","4,168","1,247","4,390",541,"1,197",31,22,11,15,6,9,"4,370",
00200,            ,            ,  ,,85,,551,家具・建具・じゅう器等卸売業,"84,583","52,386","32,197","82,047","51,423","30,624","77,259","48,454","28,805","7,197","2,704","67,358","41,257","26,101","37,872","15,665","3,385","10,436",766,650,631,172,566,161,180,871,"10,745","4,788","2,969","1,819","1,977",134,167,656,"1,854",825,"1,029",686,722,139,307,85,66,8,3,1,-,4,-,384,
00200,            ,            ,  ,,86,,5511,家具・建具卸売業,"43,081","29,279","13,802","41,684","28,808","12,876","40,225","27,839","12,386","2,932",963,"36,330","24,907","11,423","23,179","8,183","1,728","3,240",359,197,535,95,462,105,143,703,"4,199","1,459",969,490,663,26,53,207,510,253,257,205,196,48,61,40,16,2,-,1,-,3,-,100,
00200,            ,            ,  ,,87,,5512,荒物卸売業,"11,236","5,605","5,631","10,794","5,401","5,393","10,092","5,005","5,087","1,017",414,"8,661","3,988","4,673","3,446","1,504",542,"3,169",164,155,7,2,35,23,9,53,"2,568",702,396,306,250,19,25,96,312,121,191,99,123,22,68,4,9,2,-,-,-,1,-,73,
00200,            ,            ,  ,,88,,5513,畳卸売業,"2,442","1,678",764,"2,394","1,651",743,"1,599","1,070",529,366,151,"1,082",704,378,635,263,69,115,19,12,6,-,-,-,2,5,163,795,581,214,383,10,37,91,274,161,113,148,92,13,21,12,4,-,-,-,-,-,-,34,
00200,            ,            ,  ,,89,,5514,室内装飾繊維品卸売業,"8,222","5,104","3,118","8,110","5,049","3,061","7,872","4,918","2,954",688,231,"6,953","4,230","2,723","3,947","1,853",283,870,54,27,27,28,19,7,9,48,905,238,131,107,77,6,4,26,125,50,75,43,48,7,27,-,3,-,-,-,-,-,-,29,
00200,            ,            ,  ,,90,,5515,陶磁器・ガラス器卸売業,"11,072","5,636","5,436","10,737","5,514","5,223","9,531","4,834","4,697","1,415",607,"7,509","3,419","4,090","2,957","2,055",462,"2,035",107,174,20,28,18,22,2,26,"1,934","1,206",680,526,463,55,38,186,464,179,285,144,200,35,85,16,19,1,-,-,-,-,-,100,
00200,            ,            ,  ,,91,,5519,その他のじゅう器卸売業,"8,530","5,084","3,446","8,328","5,000","3,328","7,940","4,788","3,152",779,338,"6,823","4,009","2,814","3,708","1,807",301,"1,007",63,85,36,19,32,4,15,36,976,388,212,176,141,18,10,50,169,61,108,47,63,14,45,13,15,3,3,-,-,-,-,48,
00200,            ,            ,  ,,92,,552,医薬品・化粧品等卸売業,"200,228","121,924","78,304","192,190","118,351","73,839","185,712","116,797","68,915","7,582","3,614","174,516","109,215","65,301","98,229","37,052","10,986","28,249","1,021","2,298","1,225",745,"2,087",561,"1,675","1,888","32,139","6,478","1,554","4,924",933,"1,562",167,387,"3,429",454,"2,975",307,879,147,"2,096",16,449,5,6,4,12,-,8,"1,680",
00200,            ,            ,  ,,93,,5521,医薬品卸売業,"110,255","77,900","32,355","106,047","76,098","29,949","105,723","75,960","29,763","2,201",733,"102,789","73,759","29,030","66,553","17,835","7,206","11,195",442,"1,388",828,232,"1,167",248,"1,021",996,"15,274",324,138,186,82,17,6,25,194,50,144,43,64,7,80,1,6,1,-,-,-,-,-,74,
00200,            ,            ,  ,,94,,5522,医療用品卸売業,"23,077","14,114","8,963","22,510","13,842","8,668","22,250","13,694","8,556","1,358",588,"20,304","12,336","7,968","11,297","3,897","1,039","4,071",153,325,135,256,200,71,51,153,"4,077",260,148,112,96,15,9,22,118,43,75,39,60,4,15,-,-,1,1,4,1,-,2,17,
00200,            ,            ,  ,,95,,5523,化粧品卸売業,"51,865","21,823","30,042","49,760","21,051","28,709","44,263","20,013","24,250","3,282","1,998","38,983","16,731","22,252","15,117","13,246","1,614","9,006",160,534,167,215,692,230,74,329,"9,068","5,497","1,038","4,459",597,"1,521",140,280,"2,959",301,"2,658",179,691,122,"1,967",15,443,2,5,-,11,-,6,"1,547",
00200,            ,            ,  ,,96,,5524,合成洗剤卸売業,"15,031","8,087","6,944","13,873","7,360","6,513","13,476","7,130","6,346",741,295,"12,440","6,389","6,051","5,262","2,074","1,127","3,977",266,51,95,42,28,12,529,410,"3,720",397,230,167,158,9,12,60,158,60,98,46,64,14,34,-,-,1,-,-,-,-,-,42,
00200,            ,            ,  ,,97,,553,紙・紙製品卸売業,"56,709","38,110","18,599","56,418","38,261","18,157","54,581","37,238","17,343","4,874","1,639","48,068","32,364","15,704","30,211","10,318","2,153","5,386",235,261,"1,165",296,610,111,140,330,"6,181","1,837","1,023",814,656,72,50,249,810,317,493,242,318,75,175,28,35,1,-,1,1,1,-,205,
00200,            ,            ,  ,,98,,5531,紙卸売業,"19,752","13,918","5,834","20,218","14,474","5,744","19,741","14,210","5,531","1,878",500,"17,363","12,332","5,031","11,719","3,973",613,"1,058",56,56,855,135,174,39,53,123,"1,380",477,264,213,157,18,11,55,236,96,140,84,97,12,43,16,7,-,-,-,-,-,-,40,
00200,            ,            ,  ,,99,,5532,紙製品卸売業,"36,957","24,192","12,765","36,200","23,787","12,413","34,840","23,028","11,812","2,996","1,139","30,705","20,032","10,673","18,492","6,345","1,540","4,328",179,205,310,161,436,72,87,207,"4,801","1,360",759,601,499,54,39,194,574,221,353,158,221,63,132,12,28,1,-,1,1,1,-,165,
00200,            ,            ,  ,,100,,559,他に分類されない卸売業,"291,825","182,165","109,660","281,065","178,040","103,025","267,899","170,878","97,021","25,933","9,227","232,739","144,945","87,794","129,795","51,229","15,150","36,565","2,984","3,379","3,255",793,"2,932",889,"1,063","2,523","39,090","13,166","7,162","6,004","4,024",598,375,"1,345","6,824","2,763","4,061","1,877","2,249",886,"1,812",412,647,17,13,5,2,1,1,"2,101",
00200,            ,            ,  ,,101,,5591,金物卸売業,"32,614","20,905","11,709","31,894","20,590","11,304","30,094","19,564","10,530","3,373","1,327","25,394","16,191","9,203","14,875","5,676","1,316","3,527",279,241,170,37,126,45,69,142,"3,869","1,800","1,026",774,664,47,45,223,821,317,504,264,381,53,123,12,16,1,2,-,-,-,-,160,
00200,            ,            ,  ,,102,,5592,肥料・飼料卸売業,"16,780","11,183","5,597","16,170","10,779","5,391","15,753","10,528","5,225","1,681",570,"13,502","8,847","4,655","7,885","2,693",962,"1,962",135,93,101,45,264,67,64,82,"2,324",417,251,166,134,13,15,41,214,102,112,70,88,32,24,42,8,-,-,-,-,-,1,47,
00200,            ,            ,  ,,103,,5593,スポーツ用品卸売業,"14,129","9,317","4,812","13,462","8,987","4,475","13,151","8,792","4,359","1,194",384,"11,573","7,598","3,975","6,886","2,592",712,"1,383",110,110,131,19,325,122,27,119,"1,588",311,195,116,126,15,15,34,121,54,67,39,49,15,18,3,5,4,-,-,-,-,-,29,
00200,            ,            ,  ,,104,,5594,娯楽用品・がん具卸売業,"16,647","10,408","6,239","16,091","10,224","5,867","15,695","10,008","5,687","1,495",574,"13,626","8,513","5,113","7,615","3,250",898,"1,863",137,205,146,39,124,43,60,155,"2,171",396,216,180,149,20,12,59,156,55,101,41,60,14,41,8,9,-,1,-,-,1,-,47,
00200,            ,            ,  ,,105,,5595,たばこ卸売業,"7,997","4,704","3,293","8,514","5,344","3,170","8,322","5,252","3,070",138,78,"8,106","5,114","2,992","4,890",712,224,"2,280",3,7,704,48,37,10,22,152,"1,345",192,92,100,53,39,12,32,56,27,29,21,17,6,12,2,2,-,-,-,-,-,-,18,
00200,            ,            ,  ,,106,,5596,ジュエリー製品卸売業,"11,812","5,872","5,940","11,629","5,895","5,734","11,115","5,600","5,515","1,540",606,"8,969","4,060","4,909","3,742","3,146",318,"1,763",47,198,94,109,10,14,12,96,"1,694",514,295,219,198,23,13,51,229,84,145,77,77,7,68,1,6,-,1,1,2,-,-,58,
00200,            ,            ,  ,,107,,5597,書籍・雑誌卸売業,"15,564","9,571","5,993","15,001","9,544","5,457","14,350","9,146","5,204","1,036",271,"13,043","8,110","4,933","6,977","2,990","1,133","1,943",119,159,428,70,165,36,147,383,"2,259",651,398,253,132,24,7,38,450,259,191,84,71,175,120,23,28,-,-,1,-,-,-,192,
00200,            ,            ,  ,,108,,5598,代理商，仲立業,"5,464","3,344","2,120","5,137","3,154","1,983","4,869","3,004","1,865",630,206,"4,033","2,374","1,659","2,106",972,268,687,106,60,51,9,112,19,15,55,740,268,150,118,56,29,4,25,154,90,64,76,28,14,36,10,13,2,1,-,-,-,-,38,
00200,            ,            ,  ,,109,,5599,他に分類されないその他の卸売業,"170,818","106,861","63,957","163,167","103,523","59,644","154,550","98,984","55,566","14,846","5,211","134,493","84,138","50,355","74,819","29,198","9,319","21,157","2,048","2,306","1,430",417,"1,769",533,647,"1,339","23,100","8,617","4,539","4,078","2,512",388,252,842,"4,623","1,775","2,848","1,205","1,478",570,"1,370",311,560,10,8,3,-,-,-,"1,512",
00200,            ,            ,  ,,110,,,小売業計,"6,263,922","2,632,644","3,631,278","5,868,417","2,508,373","3,360,044","4,911,185","2,055,215","2,855,970","219,324","117,947","4,573,914","1,835,891","2,738,023","1,085,834","600,726","750,057","2,137,297","73,170","139,696","5,816","4,681","28,931","74,036","11,663","37,538","1,929,901","957,232","453,158","504,074","234,432","85,734","27,385","101,013","508,668","191,341","317,327","69,633","108,769","121,708","208,558","16,798","24,878",913,812,276,303,162,276,"212,048",
00200,            ,            ,  ,,111,,56,各種商品小売業,"467,087","122,106","344,981","357,518","102,026","255,492","356,598","101,707","254,891",589,204,"355,805","101,118","254,687","43,201","36,126","57,917","218,561","1,005","5,155",342,248,"16,204","63,890","3,204","20,665","192,996",920,319,601,227,157,33,132,371,59,312,42,118,17,194,10,30,1,4,-,1,-,-,177,
00200,            ,            ,  ,,112,,561,百貨店，総合スーパー,"442,507","115,299","327,208","333,325","95,278","238,047","333,325","95,278","238,047",274,12,"333,039","95,004","238,035","40,049","33,798","54,955","204,237",962,"4,886",340,247,"16,197","63,868","3,202","20,654","180,180",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
00200,            ,            ,  ,,113,,569,その他の各種商品小売業(従業者が常時50人未満のもの),"24,580","6,807","17,773","24,193","6,748","17,445","23,273","6,429","16,844",315,192,"22,766","6,114","16,652","3,152","2,328","2,962","14,324",43,269,2,1,7,22,2,11,"12,816",920,319,601,227,157,33,132,371,59,312,42,118,17,194,10,30,1,4,-,1,-,-,177,
00200,            ,            ,  ,,114,,57,織物・衣服・身の回り品小売業,"547,611","135,630","411,981","525,973","132,237","393,736","447,207","103,150","344,057","17,989","13,175","416,043","85,161","330,882","48,869","95,531","36,292","235,351","1,602","10,979",378,566,701,"2,194","1,038","3,598","201,847","78,766","29,087","49,679","21,821","17,308","2,549","10,980","26,108","4,717","21,391","3,231","10,133","1,486","11,258",475,"2,090",57,95,9,22,3,23,"10,791",
00200,            ,            ,  ,,115,,571,呉服・服地・寝具小売業,"45,468","16,519","28,949","44,052","16,229","27,823","30,167","9,821","20,346","3,926","2,541","23,700","5,895","17,805","5,164","8,456",731,"9,349",195,856,15,26,33,19,5,29,"8,446","13,885","6,408","7,477","4,952","1,734",523,"2,586","4,090",933,"3,157",788,"2,111",145,"1,046",82,254,11,10,-,-,1,4,"1,037",
00200,            ,            ,  ,,116,,5711,呉服・服地小売業,"31,114","10,381","20,733","30,029","10,210","19,819","22,914","7,185","15,729","2,641","1,804","18,469","4,544","13,925","4,055","7,004",489,"6,921",125,725,12,20,28,19,4,16,"6,258","7,115","3,025","4,090","2,316","1,104",238,"1,219","2,238",471,"1,767",398,"1,127",73,640,31,178,5,5,-,-,-,1,608,
00200,            ,            ,  ,,117,,5712,寝具小売業,"14,354","6,138","8,216","14,023","6,019","8,004","7,253","2,636","4,617","1,285",737,"5,231","1,351","3,880","1,109","1,452",242,"2,428",70,131,3,6,5,-,1,13,"2,188","6,770","3,383","3,387","2,636",630,285,"1,367","1,852",462,"1,390",390,984,72,406,51,76,6,5,-,-,1,3,429,
00200,            ,            ,  ,,118,,572,男子服小売業,"64,749","29,521","35,228","62,754","28,760","33,994","54,039","24,059","29,980","2,694","1,232","50,113","21,365","28,748","13,949","7,338","7,416","21,410",357,631,223,169,143,48,357,507,"23,302","8,715","4,701","4,014","3,559",684,253,"1,293","2,926",889,"2,037",568,995,321,"1,042",136,220,9,4,-,-,-,1,"1,109",
00200,            ,            ,  ,,119,,573,婦人・子供服小売業,"248,974","47,588","201,386","238,300","46,721","191,579","202,900","36,457","166,443","6,789","6,239","189,872","29,668","160,204","13,150","49,943","16,518","110,261",503,"6,487",81,261,286,"1,199",54,"1,277","94,770","35,400","10,264","25,136","7,626","10,119","1,054","4,209","12,392","1,584","10,808","1,062","4,697",522,"6,111",124,"1,124",21,47,1,12,1,16,"5,735",
00200,            ,            ,  ,,120,,5731,婦人服小売業,"230,101","45,208","184,893","220,201","44,378","175,823","186,338","34,590","151,748","6,464","5,990","173,884","28,126","145,758","12,119","47,539","16,007","98,219",481,"6,267",80,258,283,882,45,"1,163","86,663","33,863","9,788","24,075","7,278","9,747","1,012","4,034","11,792","1,498","10,294","1,013","4,539",485,"5,755",119,"1,035",20,42,1,7,1,16,"5,416",
00200,            ,            ,  ,,121,,5732,子供服小売業,"18,873","2,380","16,493","18,099","2,343","15,756","16,562","1,867","14,695",325,249,"15,988","1,542","14,446","1,031","2,404",511,"12,042",22,220,1,3,3,317,9,114,"8,107","1,537",476,"1,061",348,372,42,175,600,86,514,49,158,37,356,5,89,1,5,-,5,-,-,319,
00200,            ,            ,  ,,122,,574,靴・履物小売業,"36,523","13,655","22,868","35,884","13,518","22,366","30,653","11,194","19,459","1,180",679,"28,794","10,014","18,780","6,882","5,992","3,132","12,788",67,316,12,12,38,42,16,82,"11,905","5,231","2,324","2,907","1,794",878,208,904,"1,447",322,"1,125",226,641,96,484,31,75,5,3,2,2,-,-,501,
00200,            ,            ,  ,,123,,5741,靴小売業,"33,545","12,980","20,565","32,955","12,852","20,103","28,547","10,855","17,692","1,108",624,"26,815","9,747","17,068","6,680","5,401","3,067","11,667",61,287,12,12,38,42,16,76,"10,873","4,408","1,997","2,411","1,538",632,161,742,"1,335",298,"1,037",207,586,91,451,29,70,5,3,1,2,-,-,465,
00200,            ,            ,  ,,124,,5742,履物小売業(靴を除く),"2,978",675,"2,303","2,929",666,"2,263","2,106",339,"1,767",72,55,"1,979",267,"1,712",202,591,65,"1,121",6,29,-,-,-,-,-,6,"1,032",823,327,496,256,246,47,162,112,24,88,19,55,5,33,2,5,-,-,1,-,-,-,36,
00200,            ,            ,  ,,125,,579,その他の織物・衣服・身の回り品小売業,"151,897","28,347","123,550","144,983","27,009","117,974","129,448","21,619","107,829","3,400","2,484","123,564","18,219","105,345","9,724","23,802","8,495","81,543",480,"2,689",47,98,201,886,606,"1,703","63,424","15,535","5,390","10,145","3,890","3,893",511,"1,988","5,253",989,"4,264",587,"1,689",402,"2,575",102,417,11,31,6,8,1,2,"2,409",
00200,            ,            ,  ,,126,,5791,かばん・袋物小売業,"21,437","5,406","16,031","18,156","4,669","13,487","16,041","3,860","12,181",632,426,"14,983","3,228","11,755","2,482","5,347",746,"6,408",146,912,10,41,98,394,491,"1,196","6,039","2,115",809,"1,306",591,503,79,281,661,139,522,88,228,51,294,15,83,4,3,1,2,-,1,291,
00200,            ,            ,  ,,127,,5792,下着類小売業,"20,697","2,505","18,192","20,014","2,412","17,602","18,156","1,790","16,366",483,456,"17,217","1,307","15,910",789,"4,530",518,"11,380",53,345,3,5,27,165,3,44,"7,781","1,858",622,"1,236",443,514,57,247,597,122,475,66,187,56,288,10,43,1,2,4,-,-,-,287,
00200,            ,            ,  ,,128,,5793,洋品雑貨・小間物小売業,"92,318","15,898","76,420","90,219","15,611","74,608","80,756","12,437","68,319","1,630","1,171","77,955","10,807","67,148","4,232","9,827","6,575","57,321",143,"1,211",7,6,65,153,36,249,"44,179","9,463","3,174","6,289","2,310","2,447",291,"1,172","3,243",573,"2,670",352,"1,031",221,"1,639",52,219,4,20,1,5,1,1,"1,486",
00200,            ,            ,  ,,129,,5799,他に分類されない織物・衣服・身の回り品小売業,"17,445","4,538","12,907","16,594","4,317","12,277","14,495","3,532","10,963",655,431,"13,409","2,877","10,532","2,221","4,098",656,"6,434",138,221,27,46,11,174,76,214,"5,425","2,099",785,"1,314",546,429,84,288,752,155,597,81,243,74,354,25,72,2,6,-,1,-,-,345,
00200,            ,            ,  ,,130,,58,飲食料品小売業,"2,329,354","827,312","1,502,042","2,210,401","789,184","1,421,217","1,740,492","581,321","1,159,171","51,268","28,683","1,660,541","530,053","1,130,488","203,489","114,488","326,564","1,016,000","28,266","62,265","1,282","1,344","2,383","1,583","1,134","4,531","842,585","469,909","207,863","262,046","90,087","31,696","11,934","45,735","290,457","105,842","184,615","25,391","45,688","80,451","138,927","7,943","13,999",470,413,82,115,72,89,"137,862",
00200,            ,            ,  ,,131,,581,各種食料品小売業,"665,857","205,131","460,726","640,906","197,883","443,023","623,107","190,640","432,467","3,699","1,721","617,687","186,941","430,746","80,371","27,801","106,570","402,945","6,122","15,086",197,191,914,474,324,"1,919","314,963","17,799","7,243","10,556","4,649","1,977",766,"2,952","7,455","1,828","5,627","1,292","2,713",536,"2,914",100,419,15,9,-,4,-,1,"2,676",
00200,            ,            ,  ,,132,,582,野菜・果実小売業,"75,346","29,828","45,518","71,077","28,625","42,452","43,621","16,498","27,123","3,879","1,657","38,085","12,619","25,466","7,431","4,164","5,188","21,302",503,"1,590",38,61,62,33,64,254,"18,293","27,456","12,127","15,329","7,498","1,887",987,"3,972","13,112","3,642","9,470","2,428","4,289","1,214","5,181",619,"1,238",20,16,7,6,6,22,"4,938",
00200,            ,            ,  ,,133,,5821,野菜小売業,"62,187","24,029","38,158","58,979","23,235","35,744","37,753","14,049","23,704","2,982","1,191","33,580","11,067","22,513","6,337","3,277","4,730","19,236",400,"1,342",30,51,58,33,61,243,"16,466","21,226","9,186","12,040","5,558","1,449",724,"2,973","10,522","2,904","7,618","1,951","3,368",953,"4,250",306,834,13,11,6,6,6,18,"3,985",
00200,            ,            ,  ,,134,,5822,果実小売業,"13,159","5,799","7,360","12,098","5,390","6,708","5,868","2,449","3,419",897,466,"4,505","1,552","2,953","1,094",887,458,"2,066",103,248,8,10,4,-,3,11,"1,827","6,230","2,941","3,289","1,940",438,263,999,"2,590",738,"1,852",477,921,261,931,313,404,7,5,1,-,-,4,953,
00200,            ,            ,  ,,135,,583,食肉小売業,"49,703","22,323","27,380","46,961","21,274","25,687","32,907","14,158","18,749","2,341","1,218","29,348","11,817","17,531","8,110","3,310","3,707","14,221",743,"1,276",30,22,100,86,17,25,"12,482","14,054","7,116","6,938","4,317",738,487,"1,891","6,621","2,312","4,309","1,573","2,198",739,"2,111",218,322,12,4,11,4,2,6,"2,247",
00200,            ,            ,  ,,136,,5831,食肉小売業(卵，鳥肉を除く),"43,273","19,432","23,841","40,819","18,491","22,328","29,238","12,571","16,667","2,093","1,087","26,058","10,478","15,580","7,177","2,623","3,301","12,957",707,"1,192",29,17,77,36,16,25,"11,409","11,581","5,920","5,661","3,543",570,399,"1,554","5,515","1,978","3,537","1,369","1,851",609,"1,686",168,271,11,4,11,4,2,6,"1,824",
00200,            ,            ,  ,,137,,5832,卵・鳥肉小売業,"6,430","2,891","3,539","6,142","2,783","3,359","3,669","1,587","2,082",248,131,"3,290","1,339","1,951",933,687,406,"1,264",36,84,1,5,23,50,1,-,"1,073","2,473","1,196","1,277",774,168,88,337,"1,106",334,772,204,347,130,425,50,51,1,-,-,-,-,-,423,
